,,,,,,,,,,,,,,,,,,,,,,,,,Supplemental (just get from EPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,geoId/12043,Glades County,50,12234,24346,47.9,115,40.1,33.1,36.9,12.9,24.7,40.1,33.1,16.2,48.1,2962,1300,0.7576230482,3.9,415.932,0.2097407,32.21562024,,-2.12,-1.69,-0.4887941216,36.9,6542,1970,4572,8653,2285,,,,,,,,,,,,,,,,,,,,104,961,355,898,224,381,136,223,162,119,49,123,0,0,24,0,0,20,16,168,5,14,13,0,25,92,23,74,47,186,69,0,0,0,0,0,774,249,86,24,149,108,92,123,189,224,246,418,126,135,377,291,154,77,221,160,126,72,72,13,0,0,0,
,,geoId/12045,Gulf County,49,14363,31085,46,194,32.6,25.4,33.7,9.7,21.4,32.6,25.4,17,54.3,1570,2729,0.8045245086,2.7,313.9,0.13507993,31.26810894,7,-1.72,0.59,-1.249962928,33.7,8884,3365,5519,11418,1023,,,,,,,,,,,,,,,,,,,,261,235,410,997,463,428,117,88,385,319,239,389,0,0,8,15,19,2,24,25,33,41,17,29,22,15,0,50,64,297,185,102,5,0,0,0,1095,38,23,12,42,57,27,27,189,94,98,227,140,117,296,133,485,256,465,459,483,135,135,129,137,38,23,
,,geoId/12047,Hamilton County,64,13993,21554,40.8,176,38.7,35,42.1,13.4,29.4,38.7,35,14.8,42,2504,941,0.8410436307,5,577.785,0.08494743,36.38636629,33,-2.76,-0.29,0.378928694,42.1,5627,1419,4208,8972,1997,,,,,,,,,,,,,,,,,,,,125,544,485,838,194,385,63,80,104,113,72,27,0,0,9,18,13,33,47,77,94,36,57,11,94,85,73,49,141,72,18,28,0,0,0,0,694,90,16,123,125,52,23,20,181,234,304,183,233,189,437,81,260,93,67,164,57,4,4,41,0,0,25,
,,geoId/12049,Hardee County,63,25425,24714,35.6,224,40.6,38.2,37,14,24.3,40.6,38.2,14.8,42.8,3940,1698,0.8202525471,4.5,1211.392,0.19220566,35.09471244,,-1.5,-1.94,-0.3664149632,37,9775,1743,8032,20769,3163,,,,,,,,,,,,,,,,,,,,47,364,546,1076,577,899,599,383,257,274,147,188,15,0,64,87,23,32,53,40,0,99,119,69,141,201,294,284,302,417,182,59,1,0,0,0,801,84,49,92,104,137,73,136,477,233,304,343,280,354,295,310,406,258,561,165,424,108,108,19,50,0,21,
,,geoId/12051,Hendry County,67,40313,23911,35.1,294,37.1,38.2,35.6,15.2,24.1,37.1,38.2,14.9,43.2,7692,2125,0.8111129379,5.1,2212.568,0.19653782,33.42071952,,-2.12,-1.8,-0.3958364479,35.6,14943,2122,12821,29640,9263,,,,,,,,,,,,,,,,,,,,182,612,947,1297,1271,1998,170,358,297,770,703,283,0,0,0,8,24,138,148,201,97,101,181,130,43,177,180,569,425,766,170,138,16,17,0,0,859,265,154,104,69,275,177,303,331,271,532,259,329,600,1149,428,1186,516,674,443,348,155,155,0,93,0,31,
,,geoId/12053,Hernando County,44,200638,27386,48.5,2785,35.9,27.2,34.9,10.1,21.5,35.9,27.2,16.2,53.2,15830,27894,0.8547327445,4.1,5060.64,0.20415114,32.55289336,,-2.82,-2.59,-0.1587055578,34.9,88431,10390,78041,165647,24629,,,,,,,,,,,,,,,,,,,,930,2327,5050,7182,11220,9110,5390,3550,6122,3693,4801,2345,0,56,78,116,98,59,161,147,232,216,127,474,235,393,679,1590,2147,3890,2574,1601,171,25,57,63,1051,581,704,566,646,556,625,437,1028,1157,1702,1787,2127,1632,4526,5691,7496,6482,9890,5648,5316,1785,1785,187,158,41,50,
,,geoId/12055,Highlands County,38,103296,26080,53.7,1699,39.1,29.6,38.3,11.5,21.2,39.1,29.6,15.7,51,10983,14640,0.8818682844,4.5,3377.101,0.19031219,34.28155621,36,-1.5,-1.87,-0.5525795724,38.3,57206,13229,43977,87630,12425,,,,,,,,,,,,,,,,,,,,618,3900,3432,7945,3931,4973,2019,1570,1037,1818,1625,826,0,9,14,167,121,128,102,293,302,220,417,391,657,672,711,1161,1129,1493,746,468,102,0,21,0,839,865,931,687,644,745,811,598,863,1138,1292,1384,1713,1112,3171,3240,3386,2419,3094,2529,1752,492,492,258,60,11,64,
,,geoId/12057,Hillsborough County,5,1478194,33479,37.6,10605,29.5,25.6,33,10.5,16.2,29.5,25.6,16.1,58.8,107589,353457,0.9508507918,3.1,35112.888,0.14795941,36.88634479,61,-1.5,-2.45,-0.2785789268,33,595841,48263,547578,1258161,173496,,,,,,,,,,,,,,,,,,,,5331,11425,18951,23185,37347,21365,25430,11338,37482,16818,88384,30350,131,118,746,1608,1338,938,1001,973,1493,1515,1945,3179,3429,4572,4767,11598,16956,49158,41033,46045,14388,3998,1580,1504,1259,4169,1779,1820,2367,1839,1685,1163,2659,2924,3006,3530,4437,4142,14446,14580,25077,21837,51123,46904,53939,25942,25942,7673,3613,1736,2212,
,,geoId/12059,Holmes County,63,19784,23224,41.7,245,36.5,31.5,37.6,11.7,27.1,36.5,31.5,16.5,43.2,2789,1364,0.8347479501,3.4,705.96,0.13882844,38.92003486,30,-1.72,2.44,-0.2253104289,37.6,8639,1644,6995,14586,3330,,,,,,,,,,,,,,,,,,,,399,715,770,2059,278,421,140,155,130,68,51,137,0,0,0,40,8,18,40,16,12,39,52,180,125,107,129,178,91,190,64,2,0,0,0,0,753,184,211,29,113,179,244,219,313,293,399,319,317,205,461,372,418,270,229,205,130,71,71,0,9,0,34,
,,geoId/12061,Indian River County,15,163662,31269,54.2,1986,32.3,24.2,34.8,9,19.5,32.3,24.2,15.9,59.7,10875,39249,0.9022715681,3.8,2451.79,0.17398492,26.90656605,30,-1.49,-1.24,-0.1242483944,34.8,82555,19178,63377,138292,18030,,,,,,,,,,,,,,,,,,,,433,1725,4761,5943,5358,3924,2744,2545,5174,3900,5422,8497,15,0,83,30,33,42,166,138,98,27,78,227,384,494,518,809,1832,3026,1541,1707,382,103,110,186,1086,564,313,354,343,281,531,131,419,799,479,727,1051,970,2527,2579,4338,3631,6151,6311,7502,3125,3125,1481,1044,223,871,
,,geoId/12063,Jackson County,33,47694,25477,42.3,641,35,31,39.7,12.8,24.5,35,31,16.1,50.9,5848,4641,0.8402207166,3.8,1522.5,0.13106562,39.19619644,,-1.72,2.28,-0.06725387071,39.7,20047,3188,16859,36238,4810,,,,,,,,,,,,,,,,,,,,410,1946,2469,3358,1261,1108,353,349,281,288,223,260,18,2,78,176,64,23,85,62,100,84,290,195,419,508,359,374,236,341,162,47,8,0,0,0,722,189,91,87,292,283,420,176,625,868,817,507,988,542,1391,547,1231,669,895,719,501,122,122,58,36,8,48,
,,geoId/12065,Jefferson County,58,14555,29563,47.2,175,35.4,27.9,37.1,11.2,22.8,35.4,27.9,15.9,51.7,1745,2320,0.7341516351,3.3,470.875,0.18734491,40.23152336,,-1.72,-0.15,-0.4235365511,37.1,6685,1291,5394,11811,1054,,,,,,,,,,,,,,,,,,,,60,199,398,825,453,660,165,240,283,459,211,168,0,47,0,61,16,0,33,21,56,12,105,91,138,28,28,87,86,137,80,18,0,0,0,0,679,108,87,33,88,40,109,23,84,173,273,253,148,42,392,158,367,248,391,253,377,266,266,41,14,0,8,
